日期	账户ID	账户	推广计划ID	推广计划	展现量	点击量	消费	平均点击价格
2014-08-21 20	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	12	0	0.00	0.00
2014-08-21 20	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	48	3	12.72	4.24
2014-08-21 20	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	13	1	6.13	6.13
2014-08-21 20	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	60	1	6.27	6.27
2014-08-21 20	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1391	34	98.14	2.89
2014-08-21 20	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	18	0	0.00	0.00
2014-08-21 20	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	113	9	43.09	4.79
2014-08-21 21	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	17	1	5.82	5.82
2014-08-21 21	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	43	3	14.47	4.82
2014-08-21 21	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	20	3	18.66	6.22
2014-08-21 21	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	41	3	19.55	6.52
2014-08-21 21	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	165	5	13.17	2.63
2014-08-21 21	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	35	0	0.00	0.00
2014-08-21 21	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	117	3	13.60	4.53
2014-08-21 22	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	14	2	13.04	6.52
2014-08-21 22	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	44	3	17.91	5.97
2014-08-21 22	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	13	1	6.52	6.52
2014-08-21 22	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	53	2	9.51	4.76
2014-08-21 22	7034363	baidu-房多多-上海8131931	18543180	北京-一渡新新小镇-通用	1	1	1.81	1.81
2014-08-21 22	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	88	12	46.69	3.89
2014-08-21 22	7034363	baidu-房多多-上海8131931	18543186	北京-一渡新新小镇-本地	28	2	9.55	4.78
2014-08-21 23	7034363	baidu-房多多-上海8131931	16690006	昆明-实力壹方城-全国	5	0	0.00	0.00
2014-08-21 23	7034363	baidu-房多多-上海8131931	16792022	昆明-实力壹方城-本地	28	1	5.58	5.58
2014-08-21 23	7034363	baidu-房多多-上海8131931	16792140	昆明-东盟森林-本地	7	0	0.00	0.00
2014-08-21 23	7034363	baidu-房多多-上海8131931	16792143	昆明-东盟森林-全国	30	2	11.41	5.70
2014-08-21 23	7034363	baidu-房多多-上海8131931	18543183	北京-一渡新新小镇-全国	53	9	31.16	3.46
